Key,en,es,ar,fr,hi
Heading (For Separate Heading color use '|' sing to divide),Heading (For Separate Heading color use '|' sing to divide),"Título (para un color de título separado, utilice '|' para dividir)",العنوان (للحصول على لون عنوان منفصل، استخدم '|' غناء للتقسيم),Modifier le témoignage,शीर्षक (अलग शीर्षक के लिए रंग का उपयोग करें '|' को विभाजित करने के लिए गाएं)
Add Testimonial,Add Testimonial,Agregar testimonio,أضف شهادة,Afficher les informations,प्रशंसापत्र जोड़ें
Edit Testimonial,Edit Testimonial,Editar testimonio,تحرير الشهادة,Lien vidéo,प्रशंसापत्र संपादित करें
View Info,View Info,Ver información,عرض المعلومات,Page,जानकारी देखें
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Nom de la page,वीडियो लिंक
Page,Page,Página,صفحة,ID TRX,पेज
Page Name,Page Name,Nombre de la página,اسم الصفحة,Charge,पेज का नाम
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس,Après le chargement,टीआरएक्स आईडी
Charge,Charge,Cargar,تكلفة,Payable,शुल्क
After Charge,After Charge,Después de la carga,بعد الشحن,Informations sur les journaux,चार्ज के बाद
Payable,Payable,Pagadero,مستحق الدفع,Confirmation approuvée,देय
Information of Logs,Information of Logs,Información de registros,معلومات السجلات,Etes-vous sûr d'avoir approuvé cette demande ?,लॉग की जानकारी
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد,Expliquer la raison du rejet,स्वीकृत पुष्टि
Are you sure to approved this request?,Are you sure to approved this request?,¿Está seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب؟,Lien vers la politique,क्या आप निश्चित रूप से इस अनुरोध को स्वीकृत करेंगे?
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض,Version,अस्वीकृति का कारण स्पष्ट करें
Policy Link,Policy Link,Enlace de política,رابط السياسة,Environnement de l'application,नीति लिंक
Version,Version,Versión,إصدار,Débogage de l'application,संस्करण
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق,Mode application,ऐप पर्यावरण
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Connexion à la base de données,ऐप डीबग
App Mode,App Mode,Modo de aplicación,وضع التطبيق,Hôte de base de données,ऐप मोड
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات,Port de base de données,डेटाबेस कनेक्शन
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Nom de la base de données,डेटाबेस होस्ट
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Nom d'utilisateur de la base de données,डेटाबेस पोर्ट
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Version PHP,डेटाबेस का नाम
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Version Laravel,डेटाबेस उपयोगकर्ता नाम
PHP Version,PHP Version,Versión PHP,نسخة PHP,Logiciel serveur,पीएचपी संस्करण
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل,Adresse IP du serveur,लारवेल संस्करण
Server Software,Server Software,Software de servidor,برامج الخادم,Protocole de serveur,सर्वर सॉफ्टवेयर
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم,Vérifié,सर्वर आईपी पता
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Informations de l'utilisateur,सर्वर प्रोटोकॉल
Verified,Verified,Verificado,تم التحقق منه,Paramètres d'activation,सत्यापित
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Activé,उपयोगकर्ता की जानकारी
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Désactivé,सक्रियण सेटिंग्स
Activated,Activated,Activado,تفعيلها,Tapez ici...,सक्रिय
Deactivated,Deactivated,Desactivado,معطل,Recherche,निष्क्रिय
Type Here...,Type Here...,Escriba aquí...,اكتب هنا...,URI,यहाँ टाइप करें...
Search,Search,Buscar,يبحث,Ajouter une nouvelle autorisation,खोज
URI,URI,URI,URI,Attribuer une page/tâche d'autorisation,यूआरआई
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Nom de l'autorisation,नई अनुमति जोड़ें
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن,Sélectionnez un rôle,अनुमति पृष्ठ/कार्य निर्दिष्ट करें
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Choisissez-en un,अनुमति का नाम
Select Role,Select Role,Seleccionar rol,حدد الدور,Modifier l'autorisation,भूमिका चुनें
Choose One,Choose One,Elige uno,اختر واحدًا,Autorisation de rôle introuvable !,एक का चयन
Edit Permission,Edit Permission,Editar permiso,تحرير إذن,Autorisation supprimée avec succès !,अनुमति संपादित करें
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!,Autorisation introuvable !,भूमिका की अनुमति नहीं मिली!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!,Impossible de supprimer le super-administrateur système,अनुमति सफलतापूर्वक हटा दी गई!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!,Ajouter un nouveau rôle,अनुमति नहीं मिली!
Can't deletable system super admin,Can't deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام,Modifier le rôle,सिस्टम सुपर एडमिन को हटाया नहीं जा सकता
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Tous les rôles d'administrateur,नई भूमिका जोड़ें
Edit Role,Edit Role,Editar rol,تحرير الدور,Toutes les autorisations,भूमिका संपादित करें
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف,Optimisation des moteurs de recherche (SEO),सभी व्यवस्थापक भूमिकाएँ
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Détails du don,सभी अनुमतियाँ
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Image du profil d'administrateur,खोज इंजन अनुकूलन (एसईओ)
Donation Details,Donation Details,Detalles de la donación,تفاصيل التبرع,Rôle,दान विवरण
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف,Générer,व्यवस्थापक प्रोफ़ाइल छवि
Role,Role,Role,دور,Écrire le sujet...,भूमिका
Generate,Generate,Generar,يولد,Envoyer un courrier test,उत्पन्न
Write Subject...,Write Subject...,Escribir Asunto...,كتابة الموضوع...,Nom de la catégorie,विषय लिखें...
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Ajouter une catégorie,टेस्ट मेल भेजें
Category Name,Category Name,Nombre de categoría,اسم الفئة,Sélectionner,श्रेणी नाम
Add Category,Add Category,Agregar categoría,أضف فئة,Ajouter une nouvelle catégorie,श्रेणी जोड़ना
Select,Select,Seleccionar,يختار,Modifier la catégorie,चुनना
Add New Category,Add New Category,Agregar nueva categoría,إضافة فئة جديدة,Ajouter une solution,नई श्रेणी जोड़ें
Edit Category,Edit Category,Editar categoría,تحرير الفئة,Modifier la solution,श्रेणी संपादित करें
Add Solution,Add Solution,Agregar solución,أضف الحل,Ajouter une icône sociale,समाधान जोड़ें
Edit Solution,Edit Solution,Editar solución,تحرير الحل,Ajouter une icône Socail,समाधान संपादित करें
Add Social Icon,Add Social Icon,Agregar ícono social,إضافة أيقونة الاجتماعية,Mettre à jour l'extension,सामाजिक चिह्न जोड़ें
Add Socail Icon,Add Socail Icon,Agregar icono de red social,إضافة أيقونة Socail,ID de propriété,सोकेल आइकन जोड़ें
Update Extension,Update Extension,Actualizar extensión,تحديث التمديد,Identifiant du widget,एक्सटेंशन अपडेट करें
Property ID,Property ID,ID de propiedad,معرف العقار,Porte,संपत्ति आईडी
Widget ID,Widget ID,ID del widget,معرف القطعة,Devise prise en charge,विजेट आईडी
Gateway,Gateway,Puerta,بوابة,Devise activée,द्वार
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Désactivé,समर्थित मुद्रा
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Type de devise,सक्षम मुद्रा
Disabled,Disabled,Desactivado,عاجز,Nom de la passerelle,अक्षम
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Titre de la passerelle,मुद्रा प्रकार
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Devises prises en charge,गेटवे का नाम
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة,Générer des champs,गेटवे शीर्षक
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Valeur,समर्थित मुद्राएँ
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول,Image de la passerelle,फ़ील्ड जनरेट करें
Value,Value,Valor,قيمة,Environnement de passerelle,कीमत
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Devise totale prise en charge,गेटवे छवि
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Limite de montant,गेटवे पर्यावरण
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة,Minimum,कुल समर्थित मुद्रा
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Maximum,राशि सीमा
Minimum,Minimum,Mínimo,الحد الأدنى,Fixé,न्यूनतम
Maximum,Maximum,Máximo,الحد الأقصى,Pour cent,अधिकतम
Fixed,Fixed,Fijado,مُثَبَّت,Code de devise,तय
Percent,Percent,Por ciento,نسبة مئوية,Symbole monétaire,प्रतिशत
Currency Code,Currency Code,Código de moneda,رمز العملة,Nom de la devise,मुद्रा कोड
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Collecter des données,मुद्रा चिह्न
Currency Name,Currency Name,Nombre de la moneda,اسم العملة,Texte de saisie,मुद्रा का नाम
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Déposer,डेटा जुटाओ
Input Text,Input Text,Texto de entrada,إدخال النص,Zone de texte,इनपुट पाठ
File,File,Archivo,ملف,Nécessité sur le terrain,फ़ाइल
Textarea,Textarea,área de texto,منطقة النص,Requis,पाठ क्षेत्र
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Ajouter une page,फ़ील्ड आवश्यकता
Required,Required,Requerido,مطلوب,Mode sombre,आवश्यक
Add Page,Add Page,Agregar página,إضافة صفحة,Couleur de la barre supérieure,पृष्ठ जोड़ें
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode lumière,डार्क मोड
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre latérale,टॉपबार रंग
Light Mode,Light Mode,Modo de luz,وضع الضوء,Couleur minimale de la barre latérale,लाइट मोड
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Aucune nouvelle notification trouvée !,साइडबार का रंग
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Image de profil,न्यूनतम साइडबार रंग
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!,Sélectionnez un pays,कोई नई अधिसूचना नहीं मिली!
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي,Sélectionnez l'État,प्रोफ़ाइल छवि
Select Country,Select Country,Seleccionar país,اختر البلد,Sélectionnez la ville,देश चुनें
Select State,Select State,Seleccionar estado,اختر الدولة,Enregistrer et modifier,राज्य चुनें
Select City,Select City,Seleccionar ciudad,اختر المدينة,J'ai lu d'accord avec le,शहर चुनें
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Entrez le code de vérification,परिवर्तन को संग्रहित करें
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,Je n'obtiens pas de code,मैंने इससे सहमत होकर पढ़ा है
Enter Verification Code,Enter Verification Code,Ingrese el código de verificación,أدخل رمز التحقق,Renvoyer,सत्यापन कोड दर्ज करें
Don't get code,Don't get code,No obtener código,لا تحصل على الرمز,Entrez votre don,कोड नहीं मिलता
Resend,Resend,Reenviar,إعادة الإرسال,Sélectionnez le montant,पुन: भेजें
Enter your donation,Enter your donation,Ingresa tu donación,أدخل تبرعك,Aucune catégorie trouvée,अपना दान दर्ज करें
Select the amount,Select the amount,Selecciona la cantidad,حدد المبلغ,Aucune FAQ trouvée,राशि का चयन करें
No Category Found,No Category Found,No se encontró ninguna categoría,لم يتم العثور على فئة,Montant,कोई श्रेणी नहीं मिली
No FAQ Found,No FAQ Found,No se encontraron preguntas frecuentes,لم يتم العثور على الأسئلة الشائعة,Devise,कोई FAQ नहीं मिला
appLAmount,Amount,Cantidad,كمية,Titre,मात्रा
appLCurrency,Currency,Divisa,عملة,Taper,मुद्रा
appLTitle,Title,Título,عنوان,Trx,शीर्षक
appLType,Type,Tipo,يكتب,Alerte de déconnexion,प्रकार
appLTrx,Trx,trx,تركس,Voulez-vous vous déconnecter ?,क्लीन स्टार्ट
appLSignOutAlert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Oui,साइन आउट चेतावनी
appLDoYouWantSignOut,Do You Want Sign Out?,¿Quieres cerrar sesión?,هل تريد تسجيل الخروج؟,Non,क्या आप साइन आउट करना चाहते हैं?
appLYes,Yes,Sí,نعم,Rejeter,हाँ
appLNo,No,No,لا,Alerte,नहीं
appLDismiss,Dismiss,Despedir,رفض,Succès,नकार देना
appLAlert,Alert,Alerta,يُحذًِر,Voulez-vous supprimer ?,चेतावनी
appLSuccess,Success,Éxito,نجاح,Supprimer l'alerte,सफलता
appldoyouwanttodelete,Do you want to delete?,¿Quieres eliminar?,هل تريد الحذف؟,Supprimer,क्या आप हटाना चाहते हैं?
appldeletealert,Delete Alert,Eliminar alerta,حذف التنبيه,Politique de confidentialité,चेतावनी हटाएँ
appldelete,Delete,Borrar,يمسح,Votre compte a été supprimé avec succès !,मिटाना
appLPrivacyAndPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Êtes-vous sûr de,गोपनीयता नीति
Your account deleted successfully!,Your account deleted successfully!,¡Tu cuenta se eliminó exitosamente!,تم حذف حسابك بنجاح!,Entretien du système,आपका खाता सफलतापूर्वक हटा दिया गया!
ru sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك,Redémarrage,क्या आप निश्चित हैं
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,#VALUE!,प्रणाली रखरखाव
appLRestart,Restart,Reanudar,إعادة تشغيل,#VALUE!,पुनः आरंभ करें
